# TEXT	SLUG
Lennaita	lennaita
Makila kaman	makila_kaman
Yaku n'azi ta vatsun imuanan	yaku_n_azi_ta_vatsun_imuanan
m-ali ta vutsusa	m_ali_ta_vutsusa
kasul'ija m-l'asl'aseq	kasul_ija_m_l_asl_aseq
Lavi awi-it na	lavi_awi_it_na
Lavi awi-na kita	lavi_awi_na_kita
Kita awi-na lavi	kita_awi_na_lavi
Taiwanese kita, Basay Kimi	taiwanese_kita_basay_kimi
Pasika-ik mau na putau a kwazai	pasika_ik_mau_na_putau_a_kwazai
Azasa nu zanum-na	azasa_nu_zanum_na
I-kuman-isu ta baute vatsaputsapo'z'	i_kuman_isu_ta_baute_vatsaputsapo_z
Pina i tia na zijan kuwarij-an-a ni qupa	pina_i_tia_na_zijan_kuwarij_an_a_ni_qupa
kan-an-aku ta matan'	kan_an_aku_ta_matan
vlay-an ta tina-ia u amuta u gold	vlay_an_ta_tina_ia_u_amuta_u_gold
Pzajan-ija kaipan-ija	pzajan_ija_kaipan_ija
mia	mia
mia tisu kumuwa-i na tamaisu	mia_tisu_kumuwa_i_na_tamaisu
asi	asi
aukau	aukau
akuwan	akuwan
aukauan	aukauan
manai	manai
yatou	yatou
barasse	barasse
kuka	kuka
kuat isu yaku	kuat_isu_yaku
tsa	tsa
tsu	tsu
so'pat	so_pat
tsjima	tsjima
pitu	pitu
wasu	wasu
siwa	siwa
labatan	labatan
tsa latsebo	tsa_latsebo
Mani tisu kaman u	mani_tisu_kaman_u
matsaŋasse-na nanom a Tamsuy N'apan, la-tsatau u tsa-na tsatau	matsa_asse_na_nanom_a_tamsuy_n_apan_la_tsatau_u_tsa_na_tsatau
Luai balmo'n, san'ajau	luai_balmoxn_sanxajau
San'ajau mi-balmo'n,	sanxajau_mi_balmoxn
t:avalxtavalx m:i goolten wiik m:aku	t_avalxtavalx_m_i_goolten_wiik_m_aku
tina	tina
palman	palman
palman tinawa	palman_tinawa
palman tinlawa	palman_tinlawa
palsu	palsu
palisu	palisu
palisu ku	palisu_ku
[[a,k,u,,,=]]	a_k_u
[[[[a,,,k,,,u,=]],,,=]]	a_k_u
lusa	lusa
zanum	zanum
batu	batu
Makawas ita mau Basay	makawas_ita_mau_basay
San'ajau mi balmo'n	sanxajau_mi_balmoxn
taval'taval' mi-golden week maku!	tavalxtavalx_mi_golden_week_maku
hal'-hasse	halx_hasse
